iata,icao,airline
PR,BOI,2GO
,EVY,"34 Squadron, Royal Australian Air Force"
,GNL,135 Airways
1A,n/a,Amadeus IT Group S.A.
1J,,PT. Navios Evolusi Solusindo
,WYT,2 Sqn No 1 Elementary Flying Training School
,TFU,213th Flight Unit
,CHD,223rd Flight Unit
,TTF,224th Flight Unit
,TWF,247 Jet Ltd
,SEC,3D Aviation
Q5,MLA,40-Mile Air
,QRT,4D Air
,PIU,43 Air School
4R,SEK,Star East Airline [de; fa; it; pl]
4O,MNE,Air Montenegro
5W,WAZ,Wizz Air Abu Dhabi
7B,UBE,Bees Airline
AQ,JYH,9 Air
,BRO,2Excel Aviation
DM,DWI,Arajet
,GBT,A-Jet Aviation Aircraft Management
,AJR,A-Jet Aviation Company
,SFM,A-Safar Air Services
,AJJ,A2 Jet Leasing
,XXV,AASANA
,BBE,Ababeel Aviation
BJ,ABJ,Abaeté Linhas Aéreas
,NKP,Abakan Air
RL,ABG,Abakan-Avia
,ABE,Aban Air
,MRP,Abas
,AHU,ABC Air Hungary
,FTY,ABC Bedarfsflug
W9,AAB,Abelag Aviation
,BDV,Aberdair Aviation
,ROH,Aberdair Aviation Ghana
,ADJ,Abidjan Air Cargo
,ABP,ABS Jets
M3,TUS,ABSA Cargo
,TTN,Absolute Flight Services
GB,ABX,ABX Air
,IAE,AC Insat-Aero
,NCL,ACA (Ancargo Air)
,ACD,Academy Airlines
ZA,CYD,AccessAir
,CFM,ACEF
,ARO,Acero Taxi
VX,AES,ACES Colombia
,BVR,ACM Air Charter
,BJT,ACM Aviation
,CRV,Acropolis Aviation
,ORS,Action Air
,AXQ,Action Airlines (Action Air Charter)
,AVR,"Active Aero Charter, Inc."
,RRM,Acvila Air-Romanian Carrier
,ADC,AD Astra Executive Charter
,VUE,AD Aviation
,ADE,Ada Air
KI,DHI,Adam Air
Z7*,ADK,ADC Airlines
,ADW,ADC Airways
,DSC,Addis Air Cargo Services
,DDS,Addis Airlines
,ADF,"Ade, Aviación Deportiva"
,TEC,ADI Shuttle Group
,SWH,Adler Aviation
JP,ADR,Adria Airways
,DRO,Adro Servicios Aereos
,ADV,Advance Air Charters
,AXX,Advance Air Luftfahrtgesellschaft
,AAX,Advance Aviation
,XTJ,Advance Aviation Services
AN,WSN,Advanced Air
,ADD,Advanced Air Co.
,RDD,Adygea Airlines
,DVN,Adventia
,EBS,AEG Aviation Services
A3,AEE,Aegean Airlines
,ALS,Aeralp
,AEF,Aerea
,DRD,Aereo Dorado
,FUT,Aereo Futuro
,MMG,Aereo Ruta Maya
,AGI,Aereo Transportes Los Angeles de America
,WWG,Aereo WWG
,AED,Aernord
,AKR,Aero Clinker
,RRB,Aero Club de Castellon
9D,CND,Aero Continente Dominicana
,ARP,Aero Corporate
ML,AEK,Aero Costa Rica
,EPU,Aero Elite Acapulco
,XPN,Aero Express
,AJP,Aero Jets Corporativos
VF,TKJ,AJet
,OWN,Aero Owen
,GHM,Aero Service Bolivia
,GLM,Aero Services Mali
,GUE,Aero Servicio Guerrero
,ASR,Aero Sotravia
,ABA,Aero-Beta
DW,UCR,Aero-Charter Ukraine
,EAP,Aero-Pyrenees
,AJH,Aeroaljarafe
,AOB,Aerocaribe Coro
,CRN,Aero Caribbean
,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión"
,ERC,Aerocharter
,BSO,Aeroclub Barcelona-Sabadell
,NVA,Aeroclub de Albacete
,LUE,Aeroclub de Alicante
,MLL,Aeroclub de Mallorca
,AVX,Aeroclub de Vitoria
,CTD,Aerocorporativos
,RRO,Aerocredo
,DVI,Aerodavinci
,FAQ,Aerofaq
SU,AFL,Aeroflot
P3,PLS,Aeroflot-Plus
,AEG,Aerofumigaciones Sam
,AGQ,Aerogala
,ARH,Aerohelicopteros
,BJU,AeroJet
,ARJ,"Aerojet de Costa Rica, S.A."
,LFT,Aerolift Company
,LIN,Aerolimousine
,PCP,Aerolínea Principal Chile
